timestamp,latitude,longitude,altitude,horizontalAccuracy,verticalAccuracy,speed,speedAccuracy,course,courseAccuracy,floor
2025-01-15T10:00:00.000Z,12.9236,77.4989,920.23,6.17,3.29,0,0.47,201.06,13.92,-1
2025-01-15T10:00:01.000Z,12.9236,77.4989,919.9,3.67,4.41,0,0.46,201.81,5.83,-1
2025-01-15T10:00:02.000Z,12.9236,77.4989,920.27,9.48,3.06,0.12,0.45,203.54,13.7,-1
2025-01-15T10:00:03.000Z,12.9236,77.4989,920.43,4.39,4.93,0,0.88,201.62,8.24,-1
2025-01-15T10:00:04.000Z,12.9236,77.4989,920.23,6.31,2.17,0,0.98,201.15,5.63,-1
2025-01-15T10:00:05.000Z,12.9236,77.4989,920.13,4.23,5.19,0,0.86,200.56,5.77,-1
2025-01-15T10:00:06.000Z,12.9236,77.4989,919.67,5.65,2.17,0.27,0.65,200.94,8.65,-1
2025-01-15T10:00:07.000Z,12.9236,77.4989,919.93,5.78,4.31,0,0.55,201.89,6.23,-1
2025-01-15T10:00:08.000Z,12.9236,77.4989,919.64,5.1,3.44,0.25,0.78,201.8,6.72,-1
2025-01-15T10:00:09.000Z,12.923595,77.498898,919.65,6.33,2.69,0.54,0.35,201.29,6.07,-1
2025-01-15T10:00:10.000Z,12.923595,77.498898,919.44,5.29,3.46,0.01,0.94,202.92,7.26,-1
2025-01-15T10:00:11.000Z,12.923591,77.498896,919.61,5.44,5.07,0.54,0.72,203.13,8.51,-1
2025-01-15T10:00:12.000Z,12.923587,77.498894,919.35,8.15,4.83,0.51,0.74,204.83,13.45,-1
2025-01-15T10:00:13.000Z,12.923577,77.49889,919.1,5.87,5.35,1.17,0.72,205.07,12.19,-1
2025-01-15T10:00:14.000Z,12.923577,77.49889,919.54,7.25,2.34,0.19,0.39,206.21,7.62,-1
2025-01-15T10:00:15.000Z,12.923577,77.49889,920.0,5.86,4.91,0.34,0.39,204.75,13.32,-1
2025-01-15T10:00:16.000Z,12.923577,77.49889,919.99,3.44,5.26,0.28,0.39,202.93,6.32,-1
2025-01-15T10:00:17.000Z,12.923499,77.498853,920.28,8.73,5.7,9.57,0.7,204.35,7.9,-1
2025-01-15T10:00:18.000Z,12.923421,77.498817,920.37,3.86,5.89,9.47,0.51,204.34,8.72,-1
2025-01-15T10:00:19.000Z,12.923337,77.49878,920.86,3.15,3.35,10.24,0.31,203.2,7.58,-1
2025-01-15T10:00:20.000Z,12.923259,77.498745,920.36,3.41,3.01,9.54,0.71,203.82,11.06,-1
2025-01-15T10:00:21.000Z,12.923182,77.498712,920.22,4.13,2.0,9.23,0.36,202.6,9.46,-1
2025-01-15T10:00:22.000Z,12.923113,77.498683,919.86,5.98,2.21,8.27,0.89,202.36,7.18,-1
2025-01-15T10:00:23.000Z,12.923047,77.498656,919.96,5.78,3.44,7.91,0.85,201.8,9.47,-1
2025-01-15T10:00:24.000Z,12.922989,77.498631,920.29,8.7,2.39,7.01,0.93,202.92,5.14,-1
2025-01-15T10:00:25.000Z,12.922925,77.498603,920.09,8.7,3.56,7.76,0.85,203.01,9.99,-1
2025-01-15T10:00:26.000Z,12.922921,77.498601,920.55,8.74,3.45,0.55,0.55,204.36,5.34,-1
2025-01-15T10:00:27.000Z,12.92291,77.498595,920.73,8.9,3.35,1.36,0.68,206.31,7.61,-1
2025-01-15T10:00:28.000Z,12.922899,77.49859,920.32,3.24,2.75,1.29,0.89,207.69,8.71,-1
2025-01-15T10:00:29.000Z,12.922889,77.498584,919.91,5.68,5.23,1.35,0.76,209.12,14.5,-1
2025-01-15T10:00:30.000Z,12.922877,77.498576,920.15,7.32,3.69,1.53,0.86,211.06,6.57,-1
2025-01-15T10:00:31.000Z,12.922869,77.498571,920.19,5.63,2.05,1.03,0.53,212.78,8.76,-1
2025-01-15T10:00:32.000Z,12.922857,77.49856,920.21,7.69,4.93,1.77,0.98,221.35,9.81,-1
2025-01-15T10:00:33.000Z,12.922849,77.498552,920.4,4.29,3.52,1.28,0.66,222.66,6.09,-1
2025-01-15T10:00:34.000Z,12.922842,77.498546,920.66,4.55,3.41,1.04,0.85,221.09,6.44,-1
2025-01-15T10:00:35.000Z,12.922832,77.498538,920.5,5.69,2.81,1.41,0.8,219.41,11.99,-1
2025-01-15T10:00:36.000Z,12.922828,77.498534,920.44,7.94,5.58,0.63,0.68,218.25,12.72,-1
2025-01-15T10:00:37.000Z,12.922817,77.498525,920.68,5.55,2.56,1.52,0.8,219.33,13.42,-1
2025-01-15T10:00:38.000Z,12.922803,77.498513,920.68,5.37,5.72,2.02,0.85,220.99,9.96,-1
2025-01-15T10:00:39.000Z,12.92279,77.498501,920.81,4.08,3.36,1.98,0.75,221.56,10.42,-1
2025-01-15T10:00:40.000Z,12.922775,77.498488,921.1,3.68,2.22,2.17,0.49,219.58,5.75,-1
2025-01-15T10:00:41.000Z,12.922764,77.49848,920.99,7.97,2.94,1.49,0.67,218.52,11.95,-1
2025-01-15T10:00:42.000Z,12.922757,77.498473,920.55,3.32,3.18,1.14,0.31,219.26,5.57,-1
2025-01-15T10:00:43.000Z,12.922748,77.498466,920.06,9.26,5.67,1.26,0.56,218.7,10.43,-1
2025-01-15T10:00:44.000Z,12.922748,77.498466,920.42,4.79,5.5,0.26,0.39,219.91,9.43,-1
